text,label,clean_text
কমেন্টগুলো শেষ পর্যন্ত মনটা ভালো করে দিল,happy,কমেন্টগুলো শেষ পর্যন্ত মনটা ভালো করে দিল
এই পোস্টটা আজ ঠিক আছে,neutral,এই পোস্টটা আজ ঠিক আছে
এই পোস্টটা পুরোটা দেখে খুব অনুপ্রাণিত করলো,happy,এই পোস্টটা পুরোটা দেখে খুব অনুপ্রাণিত করলো
এই বিষয়টা পুরোটা দেখে দুঃখ পেলাম,sad,এই বিষয়টা পুরোটা দেখে দুঃখ পেলাম
ভিডিওটা ভাবতে বসে হতাশ লাগছে,sad,ভিডিওটা ভাবতে বসে হতাশ লাগছে
এই টপিকটা শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে,depression,এই টপিকটা শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে
এই গল্পটা আজ ঠিকই আছে,neutral,এই গল্পটা আজ ঠিকই আছে
এই টপিকটা কমেন্ট পড়ার পর খুবই সুন্দর,happy,এই টপিকটা কমেন্ট পড়ার পর খুবই সুন্দর
কমেন্টগুলো শেষ পর্যন্ত অসাধারণ হয়েছে,happy,কমেন্টগুলো শেষ পর্যন্ত অসাধারণ হয়েছে
ভিডিওটা সত্যি বলতে কিছুই ভালো লাগে না,depression,ভিডিওটা সত্যি বলতে কিছুই ভালো লাগে না
এই বিষয়টা পুরোটা দেখে বুঝতে চেষ্টা করছি,neutral,এই বিষয়টা পুরোটা দেখে বুঝতে চেষ্টা করছি
এই ব্লগটা কমেন্ট পড়ার পর খুব ভালো লাগলো,happy,এই ব্লগটা কমেন্ট পড়ার পর খুব ভালো লাগলো
এই ব্লগটা আজ সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression,এই ব্লগটা আজ সবকিছু ছেড়ে দিতে ইচ্ছা করে
এই ব্লগটা কমেন্ট পড়ার পর ঠিকই আছে,neutral,এই ব্লগটা কমেন্ট পড়ার পর ঠিকই আছে
এই পোস্টটা আজ দারুণ লেগেছে,happy,এই পোস্টটা আজ দারুণ লেগেছে
এই ব্লগটা সত্যি বলতে খুবই দুঃখজনক,sad,এই ব্লগটা সত্যি বলতে খুবই দুঃখজনক
এই বিষয়টা পুরোটা দেখে দারুণ কাজ,happy,এই বিষয়টা পুরোটা দেখে দারুণ কাজ
আজকের দিনটা সত্যি বলতে মনটা খারাপ করে দিল,sad,আজকের দিনটা সত্যি বলতে মনটা খারাপ করে দিল
এই ব্লগটা আজ নিজেকে খুব একা মনে হয়,depression,এই ব্লগটা আজ নিজেকে খুব একা মনে হয়
এই ব্লগটা পুরোটা দেখে মনে হয় কেউ বোঝে না,depression,এই ব্লগটা পুরোটা দেখে মনে হয় কেউ বোঝে না
এই গল্পটা পুরোটা দেখে নোট করলাম,neutral,এই গল্পটা পুরোটা দেখে নোট করলাম
ভিডিওটা ভাবতে বসে মনটা খারাপ করে দিল,sad,ভিডিওটা ভাবতে বসে মনটা খারাপ করে দিল
এই পোস্টটা সত্যি বলতে সবকিছু অর্থহীন লাগে,depression,এই পোস্টটা সত্যি বলতে সবকিছু অর্থহীন লাগে
এই খবরটা আজকাল খুব অনুপ্রাণিত করলো,happy,এই খবরটা আজকাল খুব অনুপ্রাণিত করলো
ভিডিওটা পুরোটা দেখে মন খারাপ হয়ে গেল,sad,ভিডিওটা পুরোটা দেখে মন খারাপ হয়ে গেল
ভিডিওটা সত্যি বলতে সত্যিই উপভোগ করেছি,happy,ভিডিওটা সত্যি বলতে সত্যিই উপভোগ করেছি
এই বিষয়টা পুরোটা দেখে সত্যিই উপভোগ করেছি,happy,এই বিষয়টা পুরোটা দেখে সত্যিই উপভোগ করেছি
এই পোস্টটা ভাবতে বসে বুঝতে চেষ্টা করছি,neutral,এই পোস্টটা ভাবতে বসে বুঝতে চেষ্টা করছি
এই টপিকটা আজকাল আরও জানা দরকার,neutral,এই টপিকটা আজকাল আরও জানা দরকার
এই টপিকটা আজকাল মনটা খারাপ করে দিল,sad,এই টপিকটা আজকাল মনটা খারাপ করে দিল
এই ব্লগটা আজ মন খারাপ হয়ে গেল,sad,এই ব্লগটা আজ মন খারাপ হয়ে গেল
ভিডিওটা ভাবতে বসে সবকিছু অর্থহীন লাগে,depression,ভিডিওটা ভাবতে বসে সবকিছু অর্থহীন লাগে
এই বিষয়টা শেষ পর্যন্ত দুঃখ পেলাম,sad,এই বিষয়টা শেষ পর্যন্ত দুঃখ পেলাম
এই বিষয়টা আজ বুঝতে চেষ্টা করছি,neutral,এই বিষয়টা আজ বুঝতে চেষ্টা করছি
ভিডিওটা কমেন্ট পড়ার পর মনটা ভালো করে দিল,happy,ভিডিওটা কমেন্ট পড়ার পর মনটা ভালো করে দিল
কমেন্টগুলো আজকাল ঠিক আছে,neutral,কমেন্টগুলো আজকাল ঠিক আছে
আজকের দিনটা কমেন্ট পড়ার পর পড়লাম,neutral,আজকের দিনটা কমেন্ট পড়ার পর পড়লাম
এই খবরটা সত্যি বলতে মোটামুটি লাগলো,neutral,এই খবরটা সত্যি বলতে মোটামুটি লাগলো
এই টপিকটা শেষ পর্যন্ত মনে হয় কেউ বোঝে না,depression,এই টপিকটা শেষ পর্যন্ত মনে হয় কেউ বোঝে না
কমেন্টগুলো শেষ পর্যন্ত আরও জানা দরকার,neutral,কমেন্টগুলো শেষ পর্যন্ত আরও জানা দরকার
আজকে সত্যি বলতে দারুণ লেগেছে,happy,আজকে সত্যি বলতে দারুণ লেগেছে
এই বিষয়টা আজ হতাশ লাগছে,sad,এই বিষয়টা আজ হতাশ লাগছে
ভিডিওটা দেখার পর নিজেকে খুব একা মনে হয়,depression,ভিডিওটা দেখার পর নিজেকে খুব একা মনে হয়
এই খবরটা ভাবতে বসে দারুণ লেগেছে,happy,এই খবরটা ভাবতে বসে দারুণ লেগেছে
এই ব্লগটা আজকাল মনটা খারাপ করে দিল,sad,এই ব্লগটা আজকাল মনটা খারাপ করে দিল
এই ব্লগটা সত্যি বলতে খারাপ লাগছে,sad,এই ব্লগটা সত্যি বলতে খারাপ লাগছে
এই টপিকটা সত্যি বলতে মোটামুটি লাগলো,neutral,এই টপিকটা সত্যি বলতে মোটামুটি লাগলো
এই খবরটা সত্যি বলতে খারাপ না,neutral,এই খবরটা সত্যি বলতে খারাপ না
আজকের দিনটা আজ দুঃখ পেলাম,sad,আজকের দিনটা আজ দুঃখ পেলাম
কমেন্টগুলো ভাবতে বসে খুব কষ্ট লাগলো,sad,কমেন্টগুলো ভাবতে বসে খুব কষ্ট লাগলো
কমেন্টগুলো আজ খারাপ খবর মনে হলো,sad,কমেন্টগুলো আজ খারাপ খবর মনে হলো
আজকের দিনটা সত্যি বলতে দারুণ কাজ,happy,আজকের দিনটা সত্যি বলতে দারুণ কাজ
কমেন্টগুলো ভাবতে বসে অসাধারণ হয়েছে,happy,কমেন্টগুলো ভাবতে বসে অসাধারণ হয়েছে
এই ব্লগটা পুরোটা দেখে ভীষণ পছন্দ হয়েছে,happy,এই ব্লগটা পুরোটা দেখে ভীষণ পছন্দ হয়েছে
কমেন্টগুলো আজকাল খারাপ খবর মনে হলো,sad,কমেন্টগুলো আজকাল খারাপ খবর মনে হলো
এই ব্লগটা আজ কিছুই ভালো লাগে না,depression,এই ব্লগটা আজ কিছুই ভালো লাগে না
এই বিষয়টা আজকাল মনটা ভালো করে দিল,happy,এই বিষয়টা আজকাল মনটা ভালো করে দিল
কমেন্টগুলো দেখার পর মাঝামাঝি মনে হলো,neutral,কমেন্টগুলো দেখার পর মাঝামাঝি মনে হলো
আজকে আজ দারুণ কাজ,happy,আজকে আজ দারুণ কাজ
এই টপিকটা সত্যি বলতে খুবই দুঃখজনক,sad,এই টপিকটা সত্যি বলতে খুবই দুঃখজনক
এই গল্পটা শেষ পর্যন্ত খুবই সুন্দর,happy,এই গল্পটা শেষ পর্যন্ত খুবই সুন্দর
আজকে আজকাল নিজেকে খুব একা মনে হয়,depression,আজকে আজকাল নিজেকে খুব একা মনে হয়
আজকের দিনটা সত্যি বলতে মনে হয় কেউ বোঝে না,depression,আজকের দিনটা সত্যি বলতে মনে হয় কেউ বোঝে না
এই ব্লগটা দেখার পর কোনো আগ্রহ পাই না,depression,এই ব্লগটা দেখার পর কোনো আগ্রহ পাই না
এই ব্লগটা ভাবতে বসে ঠিক আছে,neutral,এই ব্লগটা ভাবতে বসে ঠিক আছে
এই পোস্টটা সত্যি বলতে খুবই সুন্দর,happy,এই পোস্টটা সত্যি বলতে খুবই সুন্দর
এই বিষয়টা দেখার পর মনে হয় কেউ বোঝে না,depression,এই বিষয়টা দেখার পর মনে হয় কেউ বোঝে না
আজকে আজ আরও জানা দরকার,neutral,আজকে আজ আরও জানা দরকার
ভিডিওটা আজকাল হতাশ লাগছে,sad,ভিডিওটা আজকাল হতাশ লাগছে
আজকে কমেন্ট পড়ার পর খারাপ না,neutral,আজকে কমেন্ট পড়ার পর খারাপ না
এই টপিকটা পুরোটা দেখে খারাপ না,neutral,এই টপিকটা পুরোটা দেখে খারাপ না
এই ব্লগটা দেখার পর মাঝামাঝি মনে হলো,neutral,এই ব্লগটা দেখার পর মাঝামাঝি মনে হলো
এই টপিকটা ভাবতে বসে হতাশ লাগছে,sad,এই টপিকটা ভাবতে বসে হতাশ লাগছে
এই টপিকটা আজ কিছু করতে ইচ্ছা করে না,depression,এই টপিকটা আজ কিছু করতে ইচ্ছা করে না
আজকে পুরোটা দেখে মোটামুটি লাগলো,neutral,আজকে পুরোটা দেখে মোটামুটি লাগলো
কমেন্টগুলো কমেন্ট পড়ার পর কিছুই ভালো লাগে না,depression,কমেন্টগুলো কমেন্ট পড়ার পর কিছুই ভালো লাগে না
এই পোস্টটা কমেন্ট পড়ার পর পড়লাম,neutral,এই পোস্টটা কমেন্ট পড়ার পর পড়লাম
এই খবরটা ভাবতে বসে খুব ভালো লাগলো,happy,এই খবরটা ভাবতে বসে খুব ভালো লাগলো
ভিডিওটা আজকাল খারাপ খবর মনে হলো,sad,ভিডিওটা আজকাল খারাপ খবর মনে হলো
এই গল্পটা পুরোটা দেখে সবকিছু খুব ভারী লাগে,depression,এই গল্পটা পুরোটা দেখে সবকিছু খুব ভারী লাগে
এই পোস্টটা আজকাল দুঃখ পেলাম,sad,এই পোস্টটা আজকাল দুঃখ পেলাম
এই বিষয়টা আজ ভবিষ্যৎটা অন্ধকার লাগে,depression,এই বিষয়টা আজ ভবিষ্যৎটা অন্ধকার লাগে
আজকের দিনটা ভাবতে বসে সত্যিই উপভোগ করেছি,happy,আজকের দিনটা ভাবতে বসে সত্যিই উপভোগ করেছি
কমেন্টগুলো শেষ পর্যন্ত সবকিছু অর্থহীন লাগে,depression,কমেন্টগুলো শেষ পর্যন্ত সবকিছু অর্থহীন লাগে
আজকের দিনটা ভাবতে বসে ঠিকই আছে,neutral,আজকের দিনটা ভাবতে বসে ঠিকই আছে
এই টপিকটা পুরোটা দেখে অনেক আনন্দ দিল,happy,এই টপিকটা পুরোটা দেখে অনেক আনন্দ দিল
এই বিষয়টা আজকাল ঠিক আছে,neutral,এই বিষয়টা আজকাল ঠিক আছে
কমেন্টগুলো আজ কিছুই ভালো লাগে না,depression,কমেন্টগুলো আজ কিছুই ভালো লাগে না
এই পোস্টটা আজকাল ভালো লাগেনি,sad,এই পোস্টটা আজকাল ভালো লাগেনি
এই বিষয়টা কমেন্ট পড়ার পর দারুণ লেগেছে,happy,এই বিষয়টা কমেন্ট পড়ার পর দারুণ লেগেছে
ভিডিওটা পুরোটা দেখে হতাশ লাগছে,sad,ভিডিওটা পুরোটা দেখে হতাশ লাগছে
ভিডিওটা সত্যি বলতে কোনো আগ্রহ পাই না,depression,ভিডিওটা সত্যি বলতে কোনো আগ্রহ পাই না
এই পোস্টটা আজ খারাপ লাগছে,sad,এই পোস্টটা আজ খারাপ লাগছে
এই বিষয়টা আজকাল খুব কষ্ট লাগলো,sad,এই বিষয়টা আজকাল খুব কষ্ট লাগলো
এই খবরটা ভাবতে বসে দারুণ কাজ,happy,এই খবরটা ভাবতে বসে দারুণ কাজ
আজকে ভাবতে বসে মনটা ভারী হয়ে গেল,sad,আজকে ভাবতে বসে মনটা ভারী হয়ে গেল
এই খবরটা আজ খুব কষ্ট লাগলো,sad,এই খবরটা আজ খুব কষ্ট লাগলো
ভিডিওটা আজকাল অনেক আনন্দ দিল,happy,ভিডিওটা আজকাল অনেক আনন্দ দিল
এই পোস্টটা শেষ পর্যন্ত খুবই সুন্দর,happy,এই পোস্টটা শেষ পর্যন্ত খুবই সুন্দর
এই খবরটা সত্যি বলতে পড়লাম,neutral,এই খবরটা সত্যি বলতে পড়লাম
এই বিষয়টা আজ মনটা ভালো করে দিল,happy,এই বিষয়টা আজ মনটা ভালো করে দিল
এই পোস্টটা আজকাল খুবই দুঃখজনক,sad,এই পোস্টটা আজকাল খুবই দুঃখজনক
আজকে ভাবতে বসে নিজেকে খুব একা মনে হয়,depression,আজকে ভাবতে বসে নিজেকে খুব একা মনে হয়
এই গল্পটা কমেন্ট পড়ার পর ঠিকই আছে,neutral,এই গল্পটা কমেন্ট পড়ার পর ঠিকই আছে
এই বিষয়টা আজ খুব ভালো লাগলো,happy,এই বিষয়টা আজ খুব ভালো লাগলো
ভিডিওটা কমেন্ট পড়ার পর খারাপ লাগছে,sad,ভিডিওটা কমেন্ট পড়ার পর খারাপ লাগছে
ভিডিওটা ভাবতে বসে সত্যিই উপভোগ করেছি,happy,ভিডিওটা ভাবতে বসে সত্যিই উপভোগ করেছি
এই টপিকটা আজকাল দারুণ লেগেছে,happy,এই টপিকটা আজকাল দারুণ লেগেছে
আজকের দিনটা কমেন্ট পড়ার পর নোট করলাম,neutral,আজকের দিনটা কমেন্ট পড়ার পর নোট করলাম
এই খবরটা দেখার পর খুবই দুঃখজনক,sad,এই খবরটা দেখার পর খুবই দুঃখজনক
আজকে সত্যি বলতে মনটা ভালো করে দিল,happy,আজকে সত্যি বলতে মনটা ভালো করে দিল
এই খবরটা সত্যি বলতে সবকিছু অর্থহীন লাগে,depression,এই খবরটা সত্যি বলতে সবকিছু অর্থহীন লাগে
আজকে দেখার পর সবকিছু খুব ভারী লাগে,depression,আজকে দেখার পর সবকিছু খুব ভারী লাগে
এই গল্পটা কমেন্ট পড়ার পর নোট করলাম,neutral,এই গল্পটা কমেন্ট পড়ার পর নোট করলাম
এই পোস্টটা ভাবতে বসে ঠিকই আছে,neutral,এই পোস্টটা ভাবতে বসে ঠিকই আছে
এই বিষয়টা শেষ পর্যন্ত মনটা ভারী হয়ে গেল,sad,এই বিষয়টা শেষ পর্যন্ত মনটা ভারী হয়ে গেল
এই খবরটা পুরোটা দেখে ভালো লাগেনি,sad,এই খবরটা পুরোটা দেখে ভালো লাগেনি
এই বিষয়টা পুরোটা দেখে পড়লাম,neutral,এই বিষয়টা পুরোটা দেখে পড়লাম
এই বিষয়টা দেখার পর খারাপ খবর মনে হলো,sad,এই বিষয়টা দেখার পর খারাপ খবর মনে হলো
এই গল্পটা কমেন্ট পড়ার পর দেখলাম,neutral,এই গল্পটা কমেন্ট পড়ার পর দেখলাম
এই বিষয়টা কমেন্ট পড়ার পর মনটা খারাপ করে দিল,sad,এই বিষয়টা কমেন্ট পড়ার পর মনটা খারাপ করে দিল
এই পোস্টটা আজকাল ঠিকই আছে,neutral,এই পোস্টটা আজকাল ঠিকই আছে
এই টপিকটা আজ মনটা ভালো করে দিল,happy,এই টপিকটা আজ মনটা ভালো করে দিল
এই ব্লগটা আজ ভালো লাগেনি,sad,এই ব্লগটা আজ ভালো লাগেনি
ভিডিওটা কমেন্ট পড়ার পর নিজেকে খুব একা মনে হয়,depression,ভিডিওটা কমেন্ট পড়ার পর নিজেকে খুব একা মনে হয়
এই খবরটা শেষ পর্যন্ত মন খারাপ হয়ে গেল,sad,এই খবরটা শেষ পর্যন্ত মন খারাপ হয়ে গেল
ভিডিওটা দেখার পর মোটামুটি লাগলো,neutral,ভিডিওটা দেখার পর মোটামুটি লাগলো
এই ব্লগটা শেষ পর্যন্ত খুবই সুন্দর,happy,এই ব্লগটা শেষ পর্যন্ত খুবই সুন্দর
এই বিষয়টা আজকাল সবকিছু অর্থহীন লাগে,depression,এই বিষয়টা আজকাল সবকিছু অর্থহীন লাগে
এই গল্পটা দেখার পর ঠিকই আছে,neutral,এই গল্পটা দেখার পর ঠিকই আছে
কমেন্টগুলো সত্যি বলতে মনে হয় কেউ বোঝে না,depression,কমেন্টগুলো সত্যি বলতে মনে হয় কেউ বোঝে না
এই খবরটা শেষ পর্যন্ত সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression,এই খবরটা শেষ পর্যন্ত সবকিছু ছেড়ে দিতে ইচ্ছা করে
ভিডিওটা পুরোটা দেখে নিজেকে খুব একা মনে হয়,depression,ভিডিওটা পুরোটা দেখে নিজেকে খুব একা মনে হয়
ভিডিওটা পুরোটা দেখে কিছু করতে ইচ্ছা করে না,depression,ভিডিওটা পুরোটা দেখে কিছু করতে ইচ্ছা করে না
এই বিষয়টা আজ ভীষণ পছন্দ হয়েছে,happy,এই বিষয়টা আজ ভীষণ পছন্দ হয়েছে
এই খবরটা সত্যি বলতে খুবই সুন্দর,happy,এই খবরটা সত্যি বলতে খুবই সুন্দর
এই গল্পটা পুরোটা দেখে মনটা ভারী হয়ে গেল,sad,এই গল্পটা পুরোটা দেখে মনটা ভারী হয়ে গেল
এই ব্লগটা আজকাল হতাশ লাগছে,sad,এই ব্লগটা আজকাল হতাশ লাগছে
আজকে দেখার পর খুব অনুপ্রাণিত করলো,happy,আজকে দেখার পর খুব অনুপ্রাণিত করলো
কমেন্টগুলো কমেন্ট পড়ার পর ভবিষ্যৎটা অন্ধকার লাগে,depression,কমেন্টগুলো কমেন্ট পড়ার পর ভবিষ্যৎটা অন্ধকার লাগে
আজকে কমেন্ট পড়ার পর খারাপ খবর মনে হলো,sad,আজকে কমেন্ট পড়ার পর খারাপ খবর মনে হলো
আজকে শেষ পর্যন্ত মাঝামাঝি মনে হলো,neutral,আজকে শেষ পর্যন্ত মাঝামাঝি মনে হলো
এই ব্লগটা ভাবতে বসে দারুণ লেগেছে,happy,এই ব্লগটা ভাবতে বসে দারুণ লেগেছে
এই পোস্টটা দেখার পর মনটা ভালো করে দিল,happy,এই পোস্টটা দেখার পর মনটা ভালো করে দিল
আজকে দেখার পর খুব কষ্ট লাগলো,sad,আজকে দেখার পর খুব কষ্ট লাগলো
আজকে দেখার পর মাঝামাঝি মনে হলো,neutral,আজকে দেখার পর মাঝামাঝি মনে হলো
ভিডিওটা পুরোটা দেখে খারাপ লাগছে,sad,ভিডিওটা পুরোটা দেখে খারাপ লাগছে
এই টপিকটা ভাবতে বসে সবকিছু খুব ভারী লাগে,depression,এই টপিকটা ভাবতে বসে সবকিছু খুব ভারী লাগে
এই খবরটা দেখার পর জীবনটা খুব ফাঁকা লাগে,depression,এই খবরটা দেখার পর জীবনটা খুব ফাঁকা লাগে
ভিডিওটা আজকাল খুব ভালো লাগলো,happy,ভিডিওটা আজকাল খুব ভালো লাগলো
আজকে ভাবতে বসে দারুণ লেগেছে,happy,আজকে ভাবতে বসে দারুণ লেগেছে
এই পোস্টটা দেখার পর কিছু করতে ইচ্ছা করে না,depression,এই পোস্টটা দেখার পর কিছু করতে ইচ্ছা করে না
আজকে কমেন্ট পড়ার পর দেখলাম,neutral,আজকে কমেন্ট পড়ার পর দেখলাম
এই বিষয়টা দেখার পর খুবই দুঃখজনক,sad,এই বিষয়টা দেখার পর খুবই দুঃখজনক
আজকের দিনটা আজকাল খারাপ খবর মনে হলো,sad,আজকের দিনটা আজকাল খারাপ খবর মনে হলো
কমেন্টগুলো পুরোটা দেখে জীবনটা খুব ফাঁকা লাগে,depression,কমেন্টগুলো পুরোটা দেখে জীবনটা খুব ফাঁকা লাগে
ভিডিওটা আজকাল খুব অনুপ্রাণিত করলো,happy,ভিডিওটা আজকাল খুব অনুপ্রাণিত করলো
এই টপিকটা আজকাল বুঝতে চেষ্টা করছি,neutral,এই টপিকটা আজকাল বুঝতে চেষ্টা করছি
ভিডিওটা দেখার পর দুঃখ পেলাম,sad,ভিডিওটা দেখার পর দুঃখ পেলাম
এই বিষয়টা দেখার পর বুঝতে চেষ্টা করছি,neutral,এই বিষয়টা দেখার পর বুঝতে চেষ্টা করছি
এই গল্পটা ভাবতে বসে অনেক আনন্দ দিল,happy,এই গল্পটা ভাবতে বসে অনেক আনন্দ দিল
আজকে শেষ পর্যন্ত কোনো আগ্রহ পাই না,depression,আজকে শেষ পর্যন্ত কোনো আগ্রহ পাই না
আজকে আজকাল সবকিছু খুব ভারী লাগে,depression,আজকে আজকাল সবকিছু খুব ভারী লাগে
কমেন্টগুলো সত্যি বলতে মনটা ভারী হয়ে গেল,sad,কমেন্টগুলো সত্যি বলতে মনটা ভারী হয়ে গেল
আজকের দিনটা দেখার পর সবকিছু খুব ভারী লাগে,depression,আজকের দিনটা দেখার পর সবকিছু খুব ভারী লাগে
ভিডিওটা পুরোটা দেখে সবকিছু খুব ভারী লাগে,depression,ভিডিওটা পুরোটা দেখে সবকিছু খুব ভারী লাগে
এই পোস্টটা কমেন্ট পড়ার পর ঠিকই আছে,neutral,এই পোস্টটা কমেন্ট পড়ার পর ঠিকই আছে
কমেন্টগুলো কমেন্ট পড়ার পর দেখলাম,neutral,কমেন্টগুলো কমেন্ট পড়ার পর দেখলাম
এই খবরটা শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে,depression,এই খবরটা শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে
এই বিষয়টা সত্যি বলতে সবকিছু অর্থহীন লাগে,depression,এই বিষয়টা সত্যি বলতে সবকিছু অর্থহীন লাগে
এই ব্লগটা আজকাল মোটামুটি লাগলো,neutral,এই ব্লগটা আজকাল মোটামুটি লাগলো
এই টপিকটা দেখার পর খারাপ লাগছে,sad,এই টপিকটা দেখার পর খারাপ লাগছে
আজকের দিনটা আজকাল বুঝতে চেষ্টা করছি,neutral,আজকের দিনটা আজকাল বুঝতে চেষ্টা করছি
এই পোস্টটা কমেন্ট পড়ার পর দারুণ কাজ,happy,এই পোস্টটা কমেন্ট পড়ার পর দারুণ কাজ
এই টপিকটা পুরোটা দেখে দারুণ লেগেছে,happy,এই টপিকটা পুরোটা দেখে দারুণ লেগেছে
কমেন্টগুলো আজকাল কোনো আগ্রহ পাই না,depression,কমেন্টগুলো আজকাল কোনো আগ্রহ পাই না
আজকের দিনটা আজকাল সবকিছু অর্থহীন লাগে,depression,আজকের দিনটা আজকাল সবকিছু অর্থহীন লাগে
কমেন্টগুলো পুরোটা দেখে দুঃখ পেলাম,sad,কমেন্টগুলো পুরোটা দেখে দুঃখ পেলাম
এই টপিকটা ভাবতে বসে সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression,এই টপিকটা ভাবতে বসে সবকিছু ছেড়ে দিতে ইচ্ছা করে
এই ব্লগটা পুরোটা দেখে মনটা ভারী হয়ে গেল,sad,এই ব্লগটা পুরোটা দেখে মনটা ভারী হয়ে গেল
এই টপিকটা সত্যি বলতে কোনো আগ্রহ পাই না,depression,এই টপিকটা সত্যি বলতে কোনো আগ্রহ পাই না
আজকের দিনটা শেষ পর্যন্ত সবকিছু খুব ভারী লাগে,depression,আজকের দিনটা শেষ পর্যন্ত সবকিছু খুব ভারী লাগে
আজকের দিনটা আজ ঠিকই আছে,neutral,আজকের দিনটা আজ ঠিকই আছে
আজকে কমেন্ট পড়ার পর ভীষণ পছন্দ হয়েছে,happy,আজকে কমেন্ট পড়ার পর ভীষণ পছন্দ হয়েছে
এই ব্লগটা শেষ পর্যন্ত মনে হয় কেউ বোঝে না,depression,এই ব্লগটা শেষ পর্যন্ত মনে হয় কেউ বোঝে না
এই বিষয়টা আজ মনটা ভারী হয়ে গেল,sad,এই বিষয়টা আজ মনটা ভারী হয়ে গেল
কমেন্টগুলো আজ দুঃখ পেলাম,sad,কমেন্টগুলো আজ দুঃখ পেলাম
কমেন্টগুলো আজ খুব অনুপ্রাণিত করলো,happy,কমেন্টগুলো আজ খুব অনুপ্রাণিত করলো
এই গল্পটা কমেন্ট পড়ার পর সবকিছু খুব ভারী লাগে,depression,এই গল্পটা কমেন্ট পড়ার পর সবকিছু খুব ভারী লাগে
এই পোস্টটা আজকাল জীবনটা খুব ফাঁকা লাগে,depression,এই পোস্টটা আজকাল জীবনটা খুব ফাঁকা লাগে
আজকের দিনটা পুরোটা দেখে দারুণ কাজ,happy,আজকের দিনটা পুরোটা দেখে দারুণ কাজ
ভিডিওটা কমেন্ট পড়ার পর কিছু করতে ইচ্ছা করে না,depression,ভিডিওটা কমেন্ট পড়ার পর কিছু করতে ইচ্ছা করে না
এই খবরটা ভাবতে বসে আরও জানা দরকার,neutral,এই খবরটা ভাবতে বসে আরও জানা দরকার
এই খবরটা পুরোটা দেখে জীবনটা খুব ফাঁকা লাগে,depression,এই খবরটা পুরোটা দেখে জীবনটা খুব ফাঁকা লাগে
এই পোস্টটা আজকাল সত্যিই উপভোগ করেছি,happy,এই পোস্টটা আজকাল সত্যিই উপভোগ করেছি
এই ব্লগটা পুরোটা দেখে জীবনটা খুব ফাঁকা লাগে,depression,এই ব্লগটা পুরোটা দেখে জীবনটা খুব ফাঁকা লাগে
আজকের দিনটা কমেন্ট পড়ার পর জীবনটা খুব ফাঁকা লাগে,depression,আজকের দিনটা কমেন্ট পড়ার পর জীবনটা খুব ফাঁকা লাগে
এই বিষয়টা শেষ পর্যন্ত ভালো লাগেনি,sad,এই বিষয়টা শেষ পর্যন্ত ভালো লাগেনি
এই বিষয়টা দেখার পর মনটা ভালো করে দিল,happy,এই বিষয়টা দেখার পর মনটা ভালো করে দিল
আজকের দিনটা শেষ পর্যন্ত কোনো আগ্রহ পাই না,depression,আজকের দিনটা শেষ পর্যন্ত কোনো আগ্রহ পাই না
ভিডিওটা সত্যি বলতে মনটা ভারী হয়ে গেল,sad,ভিডিওটা সত্যি বলতে মনটা ভারী হয়ে গেল
এই টপিকটা কমেন্ট পড়ার পর সবকিছু খুব ভারী লাগে,depression,এই টপিকটা কমেন্ট পড়ার পর সবকিছু খুব ভারী লাগে
এই বিষয়টা কমেন্ট পড়ার পর ভালো লাগেনি,sad,এই বিষয়টা কমেন্ট পড়ার পর ভালো লাগেনি
এই খবরটা দেখার পর সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression,এই খবরটা দেখার পর সবকিছু ছেড়ে দিতে ইচ্ছা করে
এই গল্পটা আজ খুব অনুপ্রাণিত করলো,happy,এই গল্পটা আজ খুব অনুপ্রাণিত করলো
এই গল্পটা শেষ পর্যন্ত দেখলাম,neutral,এই গল্পটা শেষ পর্যন্ত দেখলাম
এই পোস্টটা সত্যি বলতে মনটা ভারী হয়ে গেল,sad,এই পোস্টটা সত্যি বলতে মনটা ভারী হয়ে গেল
এই গল্পটা দেখার পর কিছুই ভালো লাগে না,depression,এই গল্পটা দেখার পর কিছুই ভালো লাগে না
এই পোস্টটা আজকাল ভীষণ পছন্দ হয়েছে,happy,এই পোস্টটা আজকাল ভীষণ পছন্দ হয়েছে
এই পোস্টটা ভাবতে বসে জীবনটা খুব ফাঁকা লাগে,depression,এই পোস্টটা ভাবতে বসে জীবনটা খুব ফাঁকা লাগে
এই খবরটা দেখার পর আরও জানা দরকার,neutral,এই খবরটা দেখার পর আরও জানা দরকার
এই ব্লগটা কমেন্ট পড়ার পর পড়লাম,neutral,এই ব্লগটা কমেন্ট পড়ার পর পড়লাম
এই টপিকটা আজকাল ভালো লাগেনি,sad,এই টপিকটা আজকাল ভালো লাগেনি
এই ব্লগটা শেষ পর্যন্ত নোট করলাম,neutral,এই ব্লগটা শেষ পর্যন্ত নোট করলাম
